need steps: 4625, result: success!
need steps: 20693, result: success!
need steps: 3422, result: success!
need steps: 20790, result: success!
need steps: 20661, result: success!
need steps: 18601, result: success!
need steps: 4680, result: success!
need steps: 20455, result: success!
need steps: 19491, result: success!
need steps: 18888, result: success!
need steps: 3518, result: success!
need steps: 4351, result: success!
need steps: 20646, result: success!
need steps: 20483, result: success!
need steps: 1649, result: success!
need steps: 4662, result: success!
need steps: 18115, result: success!
need steps: 18362, result: success!
need steps: 18856, result: success!
need steps: 19159, result: success!
need steps: 20351, result: success!
need steps: 18307, result: success!
need steps: 6193, result: success!
need steps: 6793, result: success!
need steps: 18435, result: success!
need steps: 3762, result: success!
need steps: 18509, result: success!
need steps: 3897, result: success!
need steps: 20521, result: success!
need steps: 19026, result: success!
success number: 30, average success steps: 13930, need 0.15677 seconds
